Rut Compañía;Compañía;Tipo;N° Patente;Marca;Modelo;Año;Color;Tipo de Siniestro/Perdida;Estado;Tipo operación;Fecha Operación;Monto Percibido M$
96654180-6;CONSORCIO NACIONAL;1;GHDB 34;OPEL;ASTRA GTC ENJOY 1.6;2014;ROJO POWER RED;2;3;1;08-11-2016;4832,6
96654180-6;CONSORCIO NACIONAL;1;GHWT 25;MAZDA;NEW 6 2.0 AT;2014;BLANCO;2;3;1;08-11-2016;5300,27
96654180-6;CONSORCIO NACIONAL;1;GPJS 22;MAZDA;3 SPORT V 1.6;2014;NEGRO;2;3;1;08-11-2016;4624,75
96654180-6;CONSORCIO NACIONAL;1;GPKZ 37;NISSAN;MARCH SENSE 1.6;2014;PLATEADO PLATA;2;3;1;15-11-2016;3273,7
96654180-6;CONSORCIO NACIONAL;7;GVBG 67;GAC;GS5 ELITE 2.0;2014;BLANCO;2;3;1;22-11-2016;2598,17
96654180-6;CONSORCIO NACIONAL;1;GVFP 19;HYUNDAI;NEW TUCSON FL GL 2.0;2015;GRIS;2;2;1;28-11-2016;52,5
96654180-6;CONSORCIO NACIONAL;1;GWBK 26;HONDA;CIVIC COUPE EX 1.8 AUT;2015;BLANCO;2;3;1;22-11-2016;6599,36
96654180-6;CONSORCIO NACIONAL;7;GWFY 16;NISSAN;PATHFINDER 4X4 3.5 AUT;2015;BLANCO PERLADO;2;3;1;22-11-2016;9873,06
96654180-6;CONSORCIO NACIONAL;1;GWTJ 28;VOLKSWAGEN;GOLF GTI;2015;GRIS CARBON ACE;2;2;1;21-11-2016;9870
96654180-6;CONSORCIO NACIONAL;7;GYFS 15;MAZDA;CX9 GTX 4X4 3.7 AUT;2015;BLANCO MICA;2;3;1;15-11-2016;9249,5
96654180-6;CONSORCIO NACIONAL;7;GYJW 93;JEEP;COMPASS SPORT 2.4 AT;2015;PLATEADO;2;3;1;22-11-2016;4624,75
96654180-6;CONSORCIO NACIONAL;2;GZHC 97;MITSUBISHI;L200 WORK DCAB CR 2.5;2015;GRIS GRAFITO MICA;2;3;1;08-11-2016;4832,6
96654180-6;CONSORCIO NACIONAL;1;HBXJ 91;HYUNDAI;I10 BA GLS 1.2;2015;ROJO BURDEO;2;3;1;15-11-2016;3481,55
96654180-6;CONSORCIO NACIONAL;7;HBYR 91;PEUGEOT;3008 ALLURE E HDI 1.6;2015;BLANCO NACARADO;2;3;1;15-11-2016;5404,2
96654180-6;CONSORCIO NACIONAL;1;HCCV 92;CHEVROLET;SPARK GT LT 1.2;2015;PLATEADO PLATA METAL;2;3;1;15-11-2016;2806,02
96654180-6;CONSORCIO NACIONAL;1;HGRG 53;SUZUKI;SWIFT GLA SPORT 1.2;2015;BLANCO PERLA;1;3;1;08-11-2016;1167,8
96654180-6;CONSORCIO NACIONAL;7;HHHJ 75;CHEVROLET;ORLANDO LS 2.0;2015;GRIS METALICO;1;3;1;15-11-2016;3196,1
96654180-6;CONSORCIO NACIONAL;1;HPCC 56;RENAULT;SYMBOL DYNAMIQUE 1.6;2016;BLANCO GLACIER;2;3;1;15-11-2016;1870,68
96654180-6;CONSORCIO NACIONAL;1;HPLW 44;MG;3 CONFORT PLUS 1.5;2016;PLATEADO;2;3;1;15-11-2016;3481,55
96654180-6;CONSORCIO NACIONAL;1;HRVH 73;HYUNDAI;GRAND I10 BA GLS 1.2;2016;NEGRO;2;3;1;15-11-2016;3845,29
96654180-6;CONSORCIO NACIONAL;1;HTHH 22;KIA;RIO 5 EX 1.4 AT;2016;GRIS PLATINADO;2;3;1;15-11-2016;3377,62
96654180-6;CONSORCIO NACIONAL;7;HTRB 95;SUZUKI;GRAND NOMADE SPORT 2.4;2016;PLATEADO PLATA;1;3;1;08-11-2016;1167,8
96654180-6;CONSORCIO NACIONAL;2;HVPF 26;MAHINDRA;PIK UP CRDE 2.2;2016;NEGRO;2;3;1;08-11-2016;2909,95
96654180-6;CONSORCIO NACIONAL;2;HVSC 36;FORD;RANGER XLT 2.5;2016;GRIS GRAFITO;2;3;1;08-11-2016;5923,83
96654180-6;CONSORCIO NACIONAL;2;HWLC 77;MITSUBISHI;L200 KATANA CR 2.4;2016;ROJO;2;3;1;08-11-2016;9873,06
96654180-6;CONSORCIO NACIONAL;7;HXRZ 47;MAZDA;5 2.0 AUT;2016;PLATEADO PLATA;2;3;1;08-11-2016;3377,62
96654180-6;CONSORCIO NACIONAL;4;HYWP 15;JEEP;WRANGLER RUBICON 4X4 3.6 AUT;2017;ROJO ITALIANO;2;3;1;08-11-2016;6339,54
96654180-6;CONSORCIO NACIONAL;1;JBLL 27;RENAULT;SYMBOL DYNAMIQUE 1.6;2016;ROJO FUEGO;2;3;1;08-11-2016;3117,81
96654180-6;CONSORCIO NACIONAL;2;JCYW 43;SSANGYONG;NEW ACTYON SPORT 2.0;2017;GRIS GRAFITO;2;3;1;15-11-2016;4728,67
96654180-6;CONSORCIO NACIONAL;1;NJ 7673;NISSAN;V16 SENTRA TIPICO 1.6;1995;VERDE OBSCURO;2;3;1;15-11-2016;571,59
96654180-6;CONSORCIO NACIONAL;1;RN 2389;SUBARU;IMPREZA 2.0I GL AT;1997;BLANCO;2;3;1;22-11-2016;1506,94
96654180-6;CONSORCIO NACIONAL;1;ST 6740;SUBARU;FORESTER;1999;ROJO;1;2;1;25-11-2016;4095
96654180-6;CONSORCIO NACIONAL;2;VB 1337;CHEVROLET;S10 2.4;2002;BLANCO;2;3;1;15-11-2016;1558,9
96654180-6;CONSORCIO NACIONAL;1;VX 8075;CHEVROLET;CORSA EVOLUTION GLS 1.8;2003;PLATEADO ESCUNA;2;3;1;15-11-2016;1195,16
96654180-6;CONSORCIO NACIONAL;4;WX 6243;SUZUKI;JIMNY 1.3;2007;BLANCO;2;3;1;08-11-2016;1558,9
96654180-6;CONSORCIO NACIONAL;1;XD 3186;TOYOTA;YARIS GLI 1.5;2004;GRIS MICA;2;3;1;15-11-2016;1403,01
96654180-6;CONSORCIO NACIONAL;1;XW 6722;PEUGEOT;206 XR 1.6 AUT;2007;ROJO LUCIFER;2;3;1;15-11-2016;1039,27
96654180-6;CONSORCIO NACIONAL;1;ZW 6041;CHEVROLET;SPARK LT 1.0;2007;PLATEADO POLY;2;3;1;08-11-2016;1454,97
96683120-0;PENTA GENERALES;7;BBSD 58;TOYOTA;4 RUNNER;2008;GRIS METALICO;2;3;1;15-11-2016;3141,5
96683120-0;PENTA GENERALES;2;BBWR 86;HYUNDAI;PORTER HR 2.5;2007;BLANCO;2;3;1;08-11-2016;2111,5
96683120-0;PENTA GENERALES;7;BBYB 47;HYUNDAI;TUCSON GL 2.0;2008;BLANCO;1;1;1;03-11-2016;1272
96683120-0;PENTA GENERALES;1;BBYD 19;CHEVROLET;CORSA HB 1.6;2008;PLATEADO PLATA POLAR;2;3;1;15-11-2016;824
96683120-0;PENTA GENERALES;1;BCTF 72;NISSAN;TIIDA S 1.6;2011;NEGRO GRIS;2;3;1;05-12-2016;2227,8
96683120-0;PENTA GENERALES;7;BDCZ 93;SUZUKI;GRAND NOMADE GLX 2.0;2008;BEIGE CLARO;1;1;1;24-10-2016;2226
96683120-0;PENTA GENERALES;1;BFWX 65;HYUNDAI;ACCENT;2008;BLANCO;2;3;1;09-11-2016;1510
96683120-0;PENTA GENERALES;1;BGXD 47;HYUNDAI;SANTA FE;2008;PLATEADO PLATA;2;3;1;09-11-2016;2800
96683120-0;PENTA GENERALES;1;BGZH 23;CHEVROLET;AVEO LS 1.4;2008;BLANCO GALAXY;2;3;1;07-11-2016;1675,71
96683120-0;PENTA GENERALES;1;BHJK 36;TOYOTA;YARIS GLI 1.5;2008;NEGRO GRIS;2;3;1;21-11-2016;1600
96683120-0;PENTA GENERALES;1;BHVS 43;CHEVROLET;OPTRA II LS NB 1.6;2008;ROJO SUPER;1;1;1;24-10-2016;530
96683120-0;PENTA GENERALES;1;BJYL 16;CHEVROLET;CHEVY TAXI III NB PWR 1.6;2009;GRIS GRAFITO;1;1;1;03-11-2016;21,2
96683120-0;PENTA GENERALES;1;BKZP 30;SUBARU;LEGACY 2.0R AWD;2008;PLATEADO ACERO METAL;2;3;1;21-11-2016;2504,57
96683120-0;PENTA GENERALES;1;BLHX 77;AUDI;A 3 1.6 SPORTBACK TIPT;2008;GRIS DELFIN;2;3;1;22-11-2016;2950
96683120-0;PENTA GENERALES;1;BPTT 79;HYUNDAI;GETZ FL GL 1.6 AUT;2008;AZUL;2;3;1;07-11-2016;1900
96683120-0;PENTA GENERALES;1;BTJG 76;HYUNDAI;I 10 GLS 1.1;2009;BLANCO CRISTAL;2;3;1;22-11-2016;1677,37
96683120-0;PENTA GENERALES;1;BVHG 79;KIA MOTORS;NEW CARENS;2009;GRIS URBANO;2;3;1;09-11-2016;3200
96683120-0;PENTA GENERALES;2;BVKF 23;NISSAN;NAVARA DCAB 4X4 2.5;2009;ROJO;2;3;1;21-11-2016;3480,35
96683120-0;PENTA GENERALES;1;BVRF 11;CHEVROLET;AVEO III LS HB 1.4;2009;PLATEADO POLY;2;3;1;14-11-2016;1600
96683120-0;PENTA GENERALES;1;BWXC 51;TOYOTA;YARIS GLI 1.5;2009;ROJO MICA METALICO;2;3;1;15-11-2016;1600
96683120-0;PENTA GENERALES;1;BXGP 30;NISSAN;V16 SENTRA;2010;NEGRO GRIS;1;1;1;03-11-2016;424
96683120-0;PENTA GENERALES;1;BXJF 52;HYUNDAI;ACCENT GL PS 1.6;2011;NEGRO GRIS;2;3;1;21-11-2016;1200
96683120-0;PENTA GENERALES;1;BXKL 27;NISSAN;TIIDA 1.6;2014;NEGRO GRIS;2;3;1;22-11-2016;1287,5
96683120-0;PENTA GENERALES;1;BXKR 89;NISSAN;TIIDA 1.6;2011;NEGRO GRIS;2;3;1;15-11-2016;1081,5
96683120-0;PENTA GENERALES;7;BYVH 89;CITROEN;BERLINGO II HDI TURBO 1.6;2010;BLANCO;2;3;1;28-11-2016;1350
96683120-0;PENTA GENERALES;1;BYYS 85;SUBARU;LEGACY;2009;BLANCO SATIN PERLADO;2;3;1;09-11-2016;2700
96683120-0;PENTA GENERALES;3;CBVT 90;KIA MOTORS;FRONTIER;2009;BLANCO INVIERNO;1;1;1;09-11-2016;1200
96683120-0;PENTA GENERALES;7;CFCX 20;KIA MOTORS;SPORTAGE PRO II 2.0;2010;VERDE OLIVO;2;3;1;03-11-2016;2575
96683120-0;PENTA GENERALES;7;CFYZ 42;VOLVO;XC60 PLUS;2010;BLANCO HIELO;2;3;1;21-11-2016;6434,3
96683120-0;PENTA GENERALES;1;CGHL 88;SAMSUNG;SM3 1.6;2010;BEIGE MINERAL;1;1;1;09-11-2016;212
96683120-0;PENTA GENERALES;1;CHGJ 55;KIA MOTORS;CERATO SX DAB 1.6;2010;PLATEADO PLATA TITAN;2;3;1;21-11-2016;2773,65
96683120-0;PENTA GENERALES;7;CHXS 39;HYUNDAI;NEW H1 GL TCI 2.5;2010;BLANCO PERLA;2;3;1;15-11-2016;2060
96683120-0;PENTA GENERALES;1;CJVX 17;MAZDA;6 R 2.5 AT;2010;NEGRO;1;1;1;14-11-2016;800
96683120-0;PENTA GENERALES;1;CKBB 48;AUDI;A3 1.8T FSI STRONIC;2010;BLANCO IBIS;2;3;1;03-11-2016;4600
96683120-0;PENTA GENERALES;1;CLCS 11;CHEVROLET;OPTRA II LS NB 1.6;2010;PLATEADO PLATA MET;2;3;1;07-11-2016;2021
96683120-0;PENTA GENERALES;1;CLLS 18;CHEVROLET;SPARK;2010;AZUL DEPORTIVO;2;3;1;09-11-2016;1900
96683120-0;PENTA GENERALES;1;CPBL 72;CHEVROLET;CORSA HB 1.6;2010;BLANCO;2;3;1;24-10-2016;1305,87
96683120-0;PENTA GENERALES;1;CPWD 58;AUDI;A3;2010;GRIS METEORO;2;3;1;16-11-2016;3800
96683120-0;PENTA GENERALES;1;CRHR 89;TOYOTA;YARIS XLI 1.5;2010;BLANCO;2;3;1;07-11-2016;1800
96683120-0;PENTA GENERALES;1;CTLB 22;PEUGEOT;308 CONFORT PACK HDI 1.6;2011;GRIS SHARK;2;3;1;21-11-2016;3548,5
96683120-0;PENTA GENERALES;2;CVSG 86;CHEVROLET;COLORADO II 2.9 AT;2011;PLATEADO PLATA MET;1;1;1;15-11-2016;1050
96683120-0;PENTA GENERALES;1;DBRT 39;TOYOTA;URBAN CRUISER;2011;ROJO MICA METALICO;2;3;1;22-11-2016;2884,74
96683120-0;PENTA GENERALES;2;DBSL 96;HYUNDAI;PORTER HR STD 2.5;2011;BLANCO;2;3;1;03-11-2016;4400
96683120-0;PENTA GENERALES;1;DBYY 68;FIAT;FIAT UNO CARGO;2010;BLANCO BANCHISA;2;3;1;22-11-2016;618
96683120-0;PENTA GENERALES;2;DCXT 36;DODGE;DAKOTA SXT 4X4 3.7 AT;2011;GRIS GRAFICO METALIC;2;3;1;29-11-2016;3425,77
96683120-0;PENTA GENERALES;7;DDPW 83;KIA MOTORS;SPORTAGE EX FULL 4X4 2.0 AUT;2011;ROJO SIGNAN;2;3;1;05-12-2016;6612,37
96683120-0;PENTA GENERALES;2;DFRK 66;BMW;535 I GT;2011;GRIS PLATA META;2;3;1;29-11-2016;9034,01
96683120-0;PENTA GENERALES;2;DFSW 71;DODGE;DAKOTA 4X4 3.7 AUT;2011;GRIS GRAFITO METALIC;2;3;1;07-11-2016;3227,01
96683120-0;PENTA GENERALES;1;DGCL 29;HYUNDAI;SONATA;2011;BLANCO;2;3;1;09-11-2016;3800
96683120-0;PENTA GENERALES;1;DGWP 18;HYUNDAI;ELANTRA;2011;GRIS GRAFITO;2;3;1;09-11-2016;2000
96683120-0;PENTA GENERALES;1;DHDX 25;NISSAN;TIIDA;2011;GRIS OSCURO;2;3;1;09-11-2016;2000
96683120-0;PENTA GENERALES;7;DHGR 10;CHEVROLET;OPTRA 1.6;2011;BEIGE CLARO METALICO;2;3;1;21-11-2016;1500
96683120-0;PENTA GENERALES;1;DJSL 15;NISSAN;TIIDA;2012;NEGRO GRIS;2;3;1;09-11-2016;2100
96683120-0;PENTA GENERALES;3;DLVX 20;MERCEDES BENZ;AXOR;2012;BLANCO ARTICO;1;1;1;09-11-2016;4100
96683120-0;PENTA GENERALES;7;DTDZ 52;SUBARU;NEW XV LTD AWD CVT 2.0I;2012;PLATEADO HIELO CLARO;2;3;1;21-11-2016;5236,42
96683120-0;PENTA GENERALES;1;DVSJ 87;TOYOTA;COROLLA XLI 1.6;2012;GRIS OSCURO METALICO;2;3;1;22-11-2016;2957,71
96683120-0;PENTA GENERALES;2;DVYY 92;NISSAN;NAVARA DCAB LE 4X4;2012;GRIS PERLADO METALIC;2;3;1;15-11-2016;3090
96683120-0;PENTA GENERALES;7;DXJG 17;FIAT;FIORINO FIRE 1.2;2012;BLANCO BANCHISA;2;3;1;07-11-2016;1303,87
96683120-0;PENTA GENERALES;1;DYRZ 89;CHEVROLET;SAIL LS PWR 1.4;2012;AZUL METALICO;1;1;1;15-11-2016;650
96683120-0;PENTA GENERALES;7;FBYR 17;KIA MOTORS;SORENTO 2.4 AUT;2012;PLATEADO PLATA TITAN;1;1;1;09-11-2016;212
96683120-0;PENTA GENERALES;2;FCDZ 83;NISSAN;TERRANO 4X4 2.5;2012;ROJO;2;3;1;03-11-2016;3806,25
96683120-0;PENTA GENERALES;1;FCFB 63;VOLVO;C30 2.0;2012;AZUL CASPIADO;2;3;1;15-11-2016;2060
96683120-0;PENTA GENERALES;1;FDFP 94;NISSAN;MARCH 1.6;2012;ROJO;2;3;1;07-11-2016;2519,2
96683120-0;PENTA GENERALES;1;FDJB 43;AUDI;A1 ATTRACTION 1.4 AUT;2012;BLANCO AMALFI;2;3;1;07-11-2016;4262,5
96683120-0;PENTA GENERALES;1;FDRG 97;VOLKSWAGEN;GOL TRENDLINE;2013;PLATEADO CIRIUS;2;3;1;09-11-2016;3400
96683120-0;PENTA GENERALES;7;FFVX 98;TOYOTA;4RUNNER SRS 4.0 AUT;2013;PLATEADO PLATA METAL;2;3;1;21-11-2016;6189,52
96683120-0;PENTA GENERALES;7;FFWT 49;BMW;X3 XDRIVE 20D 2.0 AUT;2013;NEGRO;2;3;1;21-11-2016;8336,86
96683120-0;PENTA GENERALES;7;FGCS 27;CITROEN;NEMO FG HDI 1.2;2013;BLANCO;2;3;1;03-11-2016;2131,5
96683120-0;PENTA GENERALES;2;FGPK 47;CHEVROLET;D MAX 2.5;2013;ROJO;2;3;1;21-11-2016;3854
96683120-0;PENTA GENERALES;1;FGYX 16;NISSAN;VERSA;2013;GRIS TITANICO;1;1;1;09-11-2016;200
96683120-0;PENTA GENERALES;1;FHLL 54;BMW;135I COUPE R 3.0 AUT;2013;GRIS MINERAL METALIZ;2;3;1;29-11-2016;8120
96683120-0;PENTA GENERALES;2;FHRW 35;SSANGYONG;NEW ACTYON SPORT;2013;ROJO GUINDA;2;3;1;15-11-2016;3090
96683120-0;PENTA GENERALES;7;FHZV 31;BMW;X6 XDRIVE30D 3.0 AUT;2013;GRIS METALICO;1;1;1;24-10-2016;11660
96683120-0;PENTA GENERALES;1;FJRL 15;NISSAN;TIIDA SEDAN 1.6;2013;GRIS OSCURO;2;3;1;29-11-2016;1854
96683120-0;PENTA GENERALES;1;FKDG 82;FIAT;FIORINO;2013;BLANCO BANCHISA;2;3;1;09-11-2016;2200
96683120-0;PENTA GENERALES;1;FLDR 10;CHEVROLET;SONIC;2013;PLATEADO PLATA METAL;2;3;1;09-11-2016;2600
96683120-0;PENTA GENERALES;2;FPTP 86;MITSUBISHI;L200 WORK DCAB CR 2.5;2013;GRIS GRAFITO MICA;2;3;1;22-11-2016;4804,02
96683120-0;PENTA GENERALES;7;FRBZ 21;CHEVROLET;CAPTIVA III LS FWD 2.2;2013;NEGRO;2;3;1;21-11-2016;6277,53
96683120-0;PENTA GENERALES;1;FSDP 60;VOLVO;V40;2013;AZUL CASPIADO;2;3;1;09-11-2016;5800
96683120-0;PENTA GENERALES;2;FSHL 63;MAZDA;BT 50 DCAB SDX FULL 4X4 2.2;2013;GRIS;2;3;1;15-11-2016;6239,02
96683120-0;PENTA GENERALES;1;FSTZ 34;HYUNDAI;I 10 GLS 1.1;2013;PLATEADO;2;3;1;29-11-2016;1236
96683120-0;PENTA GENERALES;2;FTBZ 47;HYUNDAI;PORTER HR CRDI 2.5;2013;BLANCO;2;3;1;21-11-2016;3943,77
96683120-0;PENTA GENERALES;1;FTLK 90;TOYOTA;NEW YARIS GLI 1.5;2013;NEGRO;2;3;1;05-12-2016;1600
96683120-0;PENTA GENERALES;1;FVYW 71;MAZDA;3 SPORT V 1.6;2013;PLATEADO PLATA;2;3;1;07-11-2016;3689,5
96683120-0;PENTA GENERALES;7;FWSV 20;VOLVO;XC70 D5 PLUS;2013;NEGRO ZAFIRO METAL;2;3;1;21-11-2016;7960,83
96683120-0;PENTA GENERALES;2;FXBP 13;GREAT WALL;WINGLER 5 4X4 2.0;2013;BLANCO TITANIO;2;3;1;03-11-2016;2626,5
96683120-0;PENTA GENERALES;2;FYTD 16;KIA MOTORS;FRONTIER 2.5;2013;BLANCO INVIERNO;2;3;1;07-11-2016;5309,07
96683120-0;PENTA GENERALES;7;FYXV 62;MAHINDRA;XUV 500 2.2;2014;NEGRO VOLCAN;2;3;1;15-11-2016;4466
96683120-0;PENTA GENERALES;7;FZJP 38;CHEVROLET;CAPTIVA IV LS 2.2;2014;NEGRO;2;3;1;07-11-2016;6330,67
96683120-0;PENTA GENERALES;1;FZRC 98;KIA MOTORS;SOUL 1.6;2014;BLANCO CLARO;2;3;1;21-11-2016;3200,92
96683120-0;PENTA GENERALES;1;FZYY 45;CHEVROLET;SONIC II LT 1.6;2014;PLATEADO PLATA METAL;2;3;1;29-11-2016;2993,37
96683120-0;PENTA GENERALES;2;GBSS 35;FORD;RANGER XLT 4X4 3.2;2014;BEIGE;2;3;1;08-11-2016;4429
96683120-0;PENTA GENERALES;1;GDKG 69;CITROEN;C3 HDI 1.4;2014;GRIS ALUMINIUM;2;3;1;07-11-2016;3360,5
96683120-0;PENTA GENERALES;1;GDPY 17;HYUNDAI;I30 GD GLS 1.8 AT;2014;GRIS GRAFITO;2;3;1;15-11-2016;5200
96683120-0;PENTA GENERALES;1;GFSW 42;BMW;335I COUPE;2014;GRIS METALICO;2;3;1;09-11-2016;9400
96683120-0;PENTA GENERALES;1;GGHY 79;KIA MOTORS;RIO 5 UB EX 1.4;2014;BLANCO INVIERNO;1;1;1;15-11-2016;1000
96683120-0;PENTA GENERALES;1;GHFX 83;CHEVROLET;OPTRA;2014;BLANCO;2;3;1;09-11-2016;3200
96683120-0;PENTA GENERALES;2;GHVV 79;MITSUBISHI;L200 WORK DCAB CR 2.5;2014;GRIS GRAFITO MICA;2;3;1;07-11-2016;4230
96683120-0;PENTA GENERALES;1;GHWR 69;BMW;520I PREMIUM 2.0 AUT;2014;BEIGE PERLA METALIZA;2;3;1;21-11-2016;8500
96683120-0;PENTA GENERALES;1;GHYC 20;HYUNDAI;EON;2014;GRIS;2;3;1;09-11-2016;2500
96683120-0;PENTA GENERALES;1;GJPL 69;PEUGEOT;208;2014;GRIS ALUMINIUM;2;3;1;09-11-2016;1700
96683120-0;PENTA GENERALES;1;GJRT 90;MG;3 STD 1.5;2014;GRIS GRAFITO OSCURO;1;1;1;24-10-2016;742
96683120-0;PENTA GENERALES;2;GKWB 37;HYUNDAI;PORTER HR CRDI 2.5;2014;BLANCO;2;3;1;21-11-2016;4850
96683120-0;PENTA GENERALES;1;GLFG 91;KIA MOTORS;RIO 5 EX 1.4;2014;QUEMADO;1;1;1;03-11-2016;10,6
96683120-0;PENTA GENERALES;2;GPJP 53;MITSUBISHI;L200 KATANA D CAB CRT 4X4 2.5;2014;GRIS GRAFITO MICA;1;1;1;03-11-2016;424
96683120-0;PENTA GENERALES;7;GPKC 74;FIAT;FIORINO CITY 1.4;2014;BLANCO BANCHISA;2;3;1;07-11-2016;1850
96683120-0;PENTA GENERALES;7;GPRC 55;MERCEDES BENZ;VITO 113 CDI;2014;BLANCO;2;3;1;21-11-2016;5118,3
96683120-0;PENTA GENERALES;1;GPXL 63;TOYOTA;NEW YARIS GLI 1.5;2016;NEGRO MICA METALICO;1;1;1;15-11-2016;1200
96683120-0;PENTA GENERALES;3;GSHC 75;HINO;GH8JMTA L;2014;BLANCO;2;3;1;09-11-2016;9300
96683120-0;PENTA GENERALES;7;GVWG 86;MITSUBISHI;MONTERO SPORT G2 2.5 AT;2015;GRIS PLATA;2;3;1;03-11-2016;4944
96683120-0;PENTA GENERALES;7;GZCY 60;JEEP;PATRIOT 2.4 AUT;2015;NEGRO;2;3;1;15-11-2016;5640
96683120-0;PENTA GENERALES;7;HCBV 89;HYUNDAI;NEW TUCSON GL 2.0;2015;NEGRO;1;1;1;15-11-2016;750
96683120-0;PENTA GENERALES;1;HCFL 31;SUZUKI;CELERIO GLX 1.0;2015;GRIS METALICO;2;3;1;15-11-2016;1928,5
96683120-0;PENTA GENERALES;1;HCFR 81;SUZUKI;CELERIO;2015;GRIS METALICO;2;3;1;09-11-2016;2100
96683120-0;PENTA GENERALES;2;HDLT 64;CHEVROLET;D MAX II 2.5;2015;ROJO GRANATE;2;3;1;21-11-2016;5452
96683120-0;PENTA GENERALES;7;HDSK 39;KIA MOTORS;SPORTAGE LX 2.0;2015;PLATEADO BRILLANTE;2;3;1;21-11-2016;6815
96683120-0;PENTA GENERALES;1;HFSD 27;SUZUKI;ALTO GL HB 800CC;2015;BLANCO;2;3;1;15-11-2016;1437,37
96683120-0;PENTA GENERALES;1;HGVL 37;OPEL;ASTRA GTC SPORT 1.6;2015;BLANCO SUMMIT WHITT;2;3;1;22-11-2016;6456,74
96683120-0;PENTA GENERALES;1;HGWX 21;SUBARU;FORESTER;2015;GRIS OSCURO METALICO;1;1;1;09-11-2016;1300
96683120-0;PENTA GENERALES;1;HGZP 99;SUZUKI;SWIFT GL 1.2;2015;PLATEADO;2;3;1;21-11-2016;2985,17
96683120-0;PENTA GENERALES;1;HHKY 60;MITSUBISHI;OUTLANDER;2015;GRIS GRAFITO;2;3;1;16-11-2016;3400
96683120-0;PENTA GENERALES;1;HHSB 83;CITROEN;BERLINGO;2015;BLANCO;1;1;1;09-11-2016;800
96683120-0;PENTA GENERALES;2;HJVX 98;SSANGYONG;ACTYON;2016;AZUL METALICO;2;3;1;16-11-2016;3800
96683120-0;PENTA GENERALES;3;HKDL 12;MERCEDES BENZ;ACTROS;2016;AMARILLO;1;1;1;09-11-2016;7300
96683120-0;PENTA GENERALES;7;HKRX 79;MAZDA;NEW CX 5 R 2.0 AUT;2016;PLATEADO PLATA METAL;2;3;1;07-11-2016;7373,64
96683120-0;PENTA GENERALES;2;HKYZ 80;SSANGYONG;NEW ACTYON SPORT 4X4 2.0;2016;ROJO GUINDA;2;3;1;21-11-2016;4800
96683120-0;PENTA GENERALES;2;HRPZ 96;KIA MOTORS;FRONTIER D CAB 2.5;2016;BLANCO INVIERNO;2;3;1;07-11-2016;5790,57
96683120-0;PENTA GENERALES;1;HRVR 27;KIA MOTORS;RIO 4;2016;PLATEADO BRILLANTE;2;3;1;09-11-2016;3500
96683120-0;PENTA GENERALES;7;HRYK 32;KIA MOTORS;SPORTAGE LX 2.0;2016;PLATEADO PLATA BRILL;2;3;1;15-11-2016;3708
96683120-0;PENTA GENERALES;1;HSXB 57;NISSAN;MARCH;2016;BLANCO;2;3;1;09-11-2016;2700
96683120-0;PENTA GENERALES;2;HVPC 49;MAHINDRA;NEW PIK UP;2016;PLATEADO;2;3;1;09-11-2016;4400
96683120-0;PENTA GENERALES;1;HXJH 21;SUZUKI;ALTO 800 CC;2016;BLANCO;2;3;1;07-11-2016;1734,35
96683120-0;PENTA GENERALES;2;HYVH 58;MITSUBISHI;NEW L200 WORK CR 2.4;2016;PLATEADO;1;1;1;28-11-2016;3550
96683120-0;PENTA GENERALES;7;HZWR 44;FIAT;FIORINO FIRE 1.4;2016;BLANCO BANCHISA;2;3;1;21-11-2016;3047,42
96683120-0;PENTA GENERALES;1;MY 7513;CHEVROLET;AVEO;2007;PLATEADO POLY;2;3;1;16-11-2016;1300
96683120-0;PENTA GENERALES;7;PW 7474;HYUNDAI;TUCSON GL 2.0;2007;BLANCO;2;3;1;08-11-2016;1854
96683120-0;PENTA GENERALES;7;RR 4040;SUZUKI;BALENO;1997;AZUL SAFIRO;2;3;1;14-11-2016;550
96683120-0;PENTA GENERALES;1;RW 6366;SUZUKI;SX4 SPORT 1.6;2007;BLANCO;2;3;1;22-11-2016;1945,08
96683120-0;PENTA GENERALES;1;TL 9102;TOYOTA;YARIS XLI 1.5;2000;BEIGE METALICO;1;1;1;15-11-2016;720
96683120-0;PENTA GENERALES;7;UW 3897;HYUNDAI;TERRACAN GL 4X4 2.9;2007;BLANCO;2;3;1;22-11-2016;3069,96
96683120-0;PENTA GENERALES;7;VU 4556;PEUGEOT;PARTNER TOLE DIESEL 1.9;2003;BLANCO BANQUISE;2;3;1;09-11-2016;500
96683120-0;PENTA GENERALES;2;WB 4008;CHEVROLET;MONTANA SPORT RC 1.8;2007;ROJO LIRA;2;3;1;03-11-2016;1350
96683120-0;PENTA GENERALES;2;WF 3937;CHEVROLET;MONTANA;2006;PLATEADO POLARIS;2;3;1;09-11-2016;1500
96683120-0;PENTA GENERALES;1;WH 2378;TOYOTA;YARIS;2006;GRIS PLATA;2;3;1;16-11-2016;2600
96683120-0;PENTA GENERALES;3;WK 6633;MERCEDES BENZ;1728;2007;BLANCO;2;3;1;09-11-2016;7300
96683120-0;PENTA GENERALES;1;WV 2455;TOYOTA;YARIS;2007;PLATEADO SILVER MICA;2;3;1;09-11-2016;1800
